"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27945,"ADR0100","Italy","Etichette ADR","Miscele","Bundle","Enermix M21A","Enermix M21A",25,"ADR_Bundle_Enermix-M21A_small.jpg||ADR_Bundle_Enermix-M21A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27946,"ADR0101","Italy","Etichette ADR","Miscele","Bundle","Enermix M21B","Enermix M24B",25,"ADR_Bundle_Enermix-M24B_small.jpg||ADR_Bundle_Enermix-M24B_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27947,"ADR0102","Italy","Etichette ADR","Monogas","Bundle","Acetilene disciolto","Acetilene disciolto",25,"ADR_Bundle_Acetilene-disciolto_small.jpg||ADR_Bundle_Acetilene-disciolto_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27948,"ADR0103","Italy","Etichette ADR","Monogas","Bundle","Idrogeno compresso","Idrogeno compresso",25,"ADR_Bundle_Idrogeno-compresso_small.jpg||ADR_Bundle_Idrogeno-compresso_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27949,"ADR0104","Italy","Etichette ADR","Miscele","Bundle","Enermix H5","Enermix H5",25,"ADR_Bundle_Enermix-H5_small.jpg||ADR_Bundle_Enermix-H5_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27950,"ADR0105","Italy","Etichette ADR","Miscele","Bundle","Enermix H7","Enermix H7",25,"ADR_Bundle_Enermix-H7_small.jpg||ADR_Bundle_Enermix-H7_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27951,"ADR0106","Italy","Etichette ADR","Miscele","Bundle","Enermix H35","Enermix H35",25,"ADR_Bundle_Enermix-H35_small.jpg||ADR_Bundle_Enermix-H35_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27952,"ADR0107","Italy","Etichette ADR","Miscele","Bundle","Enermix NH5","Enermix NH5",25,"ADR_Bundle_Enermix-NH5_small.jpg||ADR_Bundle_Enermix-NH5_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27953,"ADR0108","Italy","Etichette ADR","Miscele","Bundle","Enermix NH50","Enermix NH50",25,"ADR_Bundle_Enermix-NH50_small.jpg||ADR_Bundle_Enermix-NH50_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg",
27954,"ADR0109","Italy","Etichette ADR","Monogas","Bundle","Ossigeno compresso","Ossigeno compresso",25,"ADR_Bundle_Ossigeno-compresso_small.jpg||ADR_Bundle_Ossigeno-compresso_large.jpg||ADR_Bundle_comburente-photo_large.jpg",
27955,"ADR0110","Italy","Etichette ADR","Monogas","Bundle","Ossigeno compresso E948","Ossigeno compresso E948",25,"ADR_Bundle_Ossigeno-compresso-E948_small.jpg||ADR_Bundle_Ossigeno-compresso-E948_large.jpg||ADR_Bundle_comburente-photo_large.jpg",
27956,"ADR0111","Italy","Etichette ADR","Monogas","Bundle","Ossigeno liquido refrigerato","Ossigeno liquido refrigerato",25,"ADR_Bundle_Ossigeno-liquido-refrigerato_small.jpg||ADR_Bundle_Ossigeno-liquido-refrigerato_large.jpg||ADR_Bundle_comburente-photo_large.jpg",
27957,"ADR0112","Italy","Etichette ADR","Monogas","Bundle","Protossido di azoto","Protossido di azoto",25,"ADR_Bundle_Protossido-di-azoto_small.jpg||ADR_Bundle_Protossido-di-azoto_large.jpg||ADR_Bundle_comburente-photo_large.jpg",
27958,"ADR0113","Italy","Etichette ADR","Monogas","Bundle","Gas puro","Gas puro",25,"ADR_gas-puro_small.jpg||ADR_gas-puro_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg",
