"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP075","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A3 bianca 160 gr da 500 fogli","Risma di carta A3 bianca 160 gr da 500 fogli",1,"8.15","Risma-di-carta-A3.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP075","Italy","Carta, buste","Post-it","Post-it index 686 strong","Post-it index 686 strong",1,"4.47","Post-it-index-686-strong.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP076","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A4 bianca 100gr da 500 fogli","Risma di carta A4 bianca 100gr da 500 fogli",1,"5.00","Risma-di-carta-A4.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP080","Italy","Carta, buste","Carta stampanti, fax","Modulo continuo 37.5x11 lettura facilitata","Modulo continuo 37.5x11 lettura facilitata",1,"21.03","Modulo-continuo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP081","Italy","Carta, buste","Fogli protocollo","Fogli protocollo a righe","Fogli protocollo a righe",200,"2.48","fogli-protocollo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP082","Italy","Carta, buste","Fogli protocollo","Fogli protocollo a righe per uso bollo","Fogli protocollo a righe per uso bollo",200,"2.61","fogli-protocollo-per-bollo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP083","Italy","Carta, buste","Buste a foratura univ.","Busta perf. univ. ppl lucida 13/100 22x30","Busta perf. univ. ppl lucida 13/100 22x30",50,"2.22","Busta-perforatura_univ.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP084","Italy","Carta, buste","Buste a foratura univ.","Busta perf.univ.antir. 13/100 22x30","Busta perf.univ.antir. 13/100 22x30",50,"1.60","Busta-perforatura_univ.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP085","Italy","Carta, buste","Buste a foratura univ.","Busta a L antiriflesso 13/100 22x30","Busta a L antiriflesso 13/100 22x30",50,"2.51","Busta-a-L-antiriflesso.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP086","Italy","Carta, buste","Buste a foratura univ.","Busta perf. univ. 23x33","Busta perf.univ. 23X33",25,"3.56","Busta-perforatura_univ.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP087","Italy","Carta, buste","Buste a foratura univ.","Busta perf.univ. a soffietto rinforzata 22x30","Busta perf.univ. a soffietto rinforzata 22x30",10,"6.36","Busta-perforatura_univ-a-soffietto_rinforzata.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP095","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 senza logo (500 pezzi)","Buste avana 19x26 senza logo",500,"16.63","buste-avana_piu-misure.jpg",,FALSO,FALSO,"SMR","N010",,
