"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12048,"MU116","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1140L SP1000","Toner Ricoh 1140L SP1000",1,"84.86",FALSO,FALSO,"SMR","N010",FALSO,VERO
12049,"MU117","Italy","Toner, cartucce","Ricoh","Toner Ricoh type 1027","Toner Ricoh type 1027",1,"21.41",FALSO,FALSO,"SMR","N010",FALSO,VERO
12050,"MU118","Italy","Toner, cartucce","Ricoh","Toner Ricoh K163","Toner Ricoh K163",1,"67.19",FALSO,FALSO,"SMR","N012",FALSO,VERO
12051,"MU119","Italy","Toner, cartucce","Samsung","Toner MLT-D1082S","Toner MLT-D1082S",1,"43.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
12052,"MU120","Italy","Toner, cartucce","Samsung","Toner laser Samsung SCX 4216","Toner laser Samsung SCX 4216",1,"68.70",FALSO,FALSO,"SMR","N012",FALSO,VERO
12053,"MU121","Italy","Toner, cartucce","Samsung","Toner laser Samsung K300A nero","Toner laser Samsung K300A nero",1,"42.77",FALSO,FALSO,"SMR","N012",FALSO,VERO
12054,"MU122","Italy","Toner, cartucce","Samsung","Toner CLP M300A magenta","Toner CLP M300A magenta",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
12055,"MU123","Italy","Toner, cartucce","Samsung","Toner CLP Y300A giallo","Toner CLP Y300A giallo",1,"31.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
12056,"MU124","Italy","Toner, cartucce","Samsung","Toner CLP C300A ciano","Toner CLP C300A ciano",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
12057,"MU125","Italy","Toner, cartucce","Toner compatibili","Toner HP 5949X compatibile","Toner HP 5949X compatibile",1,"59.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12058,"MU126","Italy","Toner, cartucce","Toner compatibili","Toner HP 2612A compatibile","Toner HP 2612A compatibile",1,"34.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
12059,"MU127","Italy","Toner, cartucce","Toner compatibili","Toner FX3 compatibile","Toner FX3 compatibile",1,"24.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
12060,"MU128","Italy","Toner, cartucce","Toner compatibili","Toner HP 4096A compatibile","Toner HP 4096A compatibile",1,"39.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12061,"MU129","Italy","Toner, cartucce","Toner compatibili","Toner HP 7115X compatibile","Toner HP 7115X compatibile",1,"33.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12062,"MU130","Italy","Toner, cartucce","Toner compatibili","Toner HP 3906A compatibile","Toner HP 3906A compatibile",1,"22.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
12063,"MU131","Italy","Toner, cartucce","Toner compatibili","Toner HP 6470A compatibile","Toner HP 6470A compatibile",1,"73.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12064,"MU132","Italy","Toner, cartucce","Toner compatibili","Toner HP 6471A compatibile","Toner HP 6471A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12065,"MU133","Italy","Toner, cartucce","Toner compatibili","Toner HP 6472A compatibile","Toner HP 6472A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12066,"MU134","Italy","Toner, cartucce","Toner compatibili","Toner HP 6473A compatibile","Toner HP 6473A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12067,"MU135","Italy","Toner, cartucce","Toner compatibili","Toner Lexmark 250 compatibile","Toner Lexmark 250 compatibile",1,"47.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12068,"MU136","Italy","Toner, cartucce","Toner compatibili","Toner HP 92298X compatibile","Toner HP 92298X compatibile",1,"41.00",FALSO,VERO,"SMR","N012",FALSO,VERO
12069,"MU137","Italy","Toner, cartucce","Toner compatibili","Toner HP 7553X compatibile","Toner HP 7553X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12070,"MU138","Italy","Toner, cartucce","Toner compatibili","Toner HP 7551X compatibile","Toner HP 7551X compatibile",1,"98.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12071,"MU139","Italy","Toner, cartucce","Toner compatibili","Toner HP 8061X compatibile","Toner HP 8061X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12072,"MU140","Italy","Toner, cartucce","Toner compatibili","Toner Hp CB436A Compatibile","Toner Hp CB436A Compatibile",1,"41.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
12073,"MU141","Italy","Toner, cartucce","Toner compatibili","Toner HP 505X","Toner HP 505X",1,"86.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
12074,"MU142","Italy","Toner, cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR",2,FALSO,VERO
12075,"MU143","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
12076,"MU144","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 giallo (C8773EE)","Cartuccia Hp N.363 giallo (C8773EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
12077,"MU145","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 ciano chiaro (C8774EE)","Cartuccia Hp N.363 ciano chiaro (C8774EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
12078,"MU146","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
12079,"MU147","Italy","Toner, cartucce","HP","Toner HP Q7553X","Toner HP Q7553X",1,"104.99",FALSO,FALSO,"SMR","N012",FALSO,VERO
12080,"MU148","Italy","Toner, cartucce","HP","Toner HP Q6470A","Toner HP Q6470A",1,"93.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
12081,"MU149","Italy","Toner, cartucce","HP","Toner HP Q6471A","Toner HP Q6471A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
12082,"MU150","Italy","Toner, cartucce","HP","Toner HP Q6472A","Toner HP Q6472A",1,"93.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
12083,"MU151","Italy","Toner, cartucce","HP","Toner HP Q6473A","Toner HP Q6473A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
12084,"MU152","Italy","Toner, cartucce","HP","Cartuccia HP 339","Cartuccia HP 339",2,"35.71",FALSO,VERO,"SMR","N012",FALSO,VERO
